age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,capital-margin,capital-total,capital-margin-flag,workclass-occupation,race-sex,marital-status-relationship,workclass-education,occupation-education
25,3,219199,1,7,0,6,1,4,1,0,0,40,38,0,0,0,2,31,9,0,37,86
39,3,52978,15,10,0,7,1,4,0,0,1721,55,38,0,-1721,1721,0,32,8,0,51,116
35,3,196899,9,13,4,5,1,1,0,0,0,50,13,0,0,0,2,30,2,17,45,80
64,3,135527,8,11,0,12,1,4,0,0,0,40,38,0,0,0,2,37,8,0,44,186
24,3,60783,15,10,2,13,0,4,1,0,0,70,38,1,0,0,2,38,9,8,51,208
66,5,274451,6,5,2,4,0,4,1,0,0,25,38,1,0,0,2,54,9,8,73,61
56,3,152874,9,13,0,9,4,2,0,0,1741,40,38,0,-1741,1741,0,34,4,3,45,141
70,5,165586,11,9,2,4,0,4,1,0,0,40,38,0,0,0,2,54,9,8,78,66
21,3,211013,8,11,2,7,2,4,0,0,0,50,25,0,0,0,2,32,8,10,44,109
33,3,192644,11,9,5,5,4,4,1,0,0,35,32,0,0,0,2,30,9,24,47,81
45,3,174794,15,10,0,8,1,4,0,0,0,29,38,0,0,0,2,33,8,0,51,131
54,3,231004,15,10,0,0,1,4,0,0,0,37,38,0,0,0,2,26,8,0,51,15
63,1,241404,15,10,0,10,1,4,0,0,0,35,38,0,0,0,2,21,8,0,30,162
58,1,36091,12,14,4,3,1,0,0,0,0,40,38,0,0,0,2,15,0,17,27,51
44,5,53956,15,10,2,4,0,4,1,0,0,45,38,0,0,0,2,54,9,8,82,70
31,3,162312,9,13,4,9,1,1,1,0,0,35,29,0,0,0,2,34,3,17,45,141
54,3,299324,4,3,3,6,4,4,1,0,0,40,25,0,0,0,2,31,9,16,40,89
17,3,52012,1,7,4,7,3,4,0,0,0,15,38,0,0,0,2,32,8,19,37,102
43,3,208613,14,15,3,9,1,4,1,99999,0,40,38,1,99999,99999,1,34,9,13,50,146
18,8,220168,15,10,4,14,3,4,1,0,0,16,38,0,0,0,2,84,9,19,118,224
23,8,194096,15,10,4,14,3,4,0,0,0,30,38,0,0,0,2,84,8,19,118,224
50,5,343748,15,10,2,2,0,4,1,0,0,35,38,0,0,0,2,52,9,8,82,38
54,3,96062,9,13,2,9,0,4,1,0,0,40,38,0,0,0,2,34,9,8,45,141
